conc_benth,date
18487000000.0,2010-10-26
18405000000.0,2010-10-27
18369000000.0,2010-10-28
18340000000.0,2010-10-29
18312000000.0,2010-10-30
18285000000.0,2010-10-31
18261000000.0,2010-11-01
18236000000.0,2010-11-02
18212000000.0,2010-11-03
18188000000.0,2010-11-04
18164000000.0,2010-11-05
18139000000.0,2010-11-06
18001000000.0,2010-11-07
17738000000.0,2010-11-08
17649000000.0,2010-11-09
17617000000.0,2010-11-10
17594000000.0,2010-11-11
17570000000.0,2010-11-12
17547000000.0,2010-11-13
17520000000.0,2010-11-14
17490000000.0,2010-11-15
17462000000.0,2010-11-16
17439000000.0,2010-11-17
17419000000.0,2010-11-18
17546000000.0,2010-11-19
17237000000.0,2010-11-20
16933000000.0,2010-11-21
16646000000.0,2010-11-22
16362000000.0,2010-11-23
16128000000.0,2010-11-24
16051000000.0,2010-11-25
16026000000.0,2010-11-26
15927000000.0,2010-11-27
15699000000.0,2010-11-28
15622000000.0,2010-11-29
15596000000.0,2010-11-30
15580000000.0,2010-12-01
15661000000.0,2010-12-02
15497000000.0,2010-12-03
15232000000.0,2010-12-04
14968000000.0,2010-12-05
14706000000.0,2010-12-06
14498000000.0,2010-12-07
14331000000.0,2010-12-08
14095000000.0,2010-12-09
13914000000.0,2010-12-10
13855000000.0,2010-12-11
13836000000.0,2010-12-12
13824000000.0,2010-12-13
14356000000.0,2010-12-14
14121000000.0,2010-12-15
13943000000.0,2010-12-16
13781000000.0,2010-12-17
13539000000.0,2010-12-18
13301000000.0,2010-12-19
13070000000.0,2010-12-20
12887000000.0,2010-12-21
12733000000.0,2010-12-22
12548000000.0,2010-12-23
12472000000.0,2010-12-24
12346000000.0,2010-12-25
12131000000.0,2010-12-26
11934000000.0,2010-12-27
11740000000.0,2010-12-28
11535000000.0,2010-12-29
11371000000.0,2010-12-30
11319000000.0,2010-12-31
11211000000.0,2011-01-01
11014000000.0,2011-01-02
10857000000.0,2011-01-03
10806000000.0,2011-01-04
10790000000.0,2011-01-05
10780000000.0,2011-01-06
10772000000.0,2011-01-07
10764000000.0,2011-01-08
10756000000.0,2011-01-09
10747000000.0,2011-01-10
10738000000.0,2011-01-11
10729000000.0,2011-01-12
11171000000.0,2011-01-13
11032000000.0,2011-01-14
10983000000.0,2011-01-15
10967000000.0,2011-01-16
10956000000.0,2011-01-17
10946000000.0,2011-01-18
10935000000.0,2011-01-19
10924000000.0,2011-01-20
10915000000.0,2011-01-21
10906000000.0,2011-01-22
10897000000.0,2011-01-23
10888000000.0,2011-01-24
10879000000.0,2011-01-25
10870000000.0,2011-01-26
10862000000.0,2011-01-27
10854000000.0,2011-01-28
11232000000.0,2011-01-29
12207000000.0,2011-01-30
12037000000.0,2011-01-31
11981000000.0,2011-02-01
11960000000.0,2011-02-02
11948000000.0,2011-02-03
11937000000.0,2011-02-04
11924000000.0,2011-02-05
11909000000.0,2011-02-06
11895000000.0,2011-02-07
11881000000.0,2011-02-08
11862000000.0,2011-02-09
11849000000.0,2011-02-10
11838000000.0,2011-02-11
11829000000.0,2011-02-12
11818000000.0,2011-02-13
12304000000.0,2011-02-14
12803000000.0,2011-02-15
14898000000.0,2011-02-16
14641000000.0,2011-02-17
14384000000.0,2011-02-18
14133000000.0,2011-02-19
13933000000.0,2011-02-20
13870000000.0,2011-02-21
13851000000.0,2011-02-22
13839000000.0,2011-02-23
13902000000.0,2011-02-24
13660000000.0,2011-02-25
13466000000.0,2011-02-26
13404000000.0,2011-02-27
13384000000.0,2011-02-28
13371000000.0,2011-03-01
13383000000.0,2011-03-02
13371000000.0,2011-03-03
13357000000.0,2011-03-04
13347000000.0,2011-03-05
13455000000.0,2011-03-06
13222000000.0,2011-03-07
13038000000.0,2011-03-08
12981000000.0,2011-03-09
12920000000.0,2011-03-10
12809000000.0,2011-03-11
12770000000.0,2011-03-12
12654000000.0,2011-03-13
12434000000.0,2011-03-14
12215000000.0,2011-03-15
12001000000.0,2011-03-16
11821000000.0,2011-03-17
11660000000.0,2011-03-18
11455000000.0,2011-03-19
11255000000.0,2011-03-20
11059000000.0,2011-03-21
10886000000.0,2011-03-22
10719000000.0,2011-03-23
10531000000.0,2011-03-24
10347000000.0,2011-03-25
10167000000.0,2011-03-26
10022000000.0,2011-03-27
9975100000.0,2011-03-28
9958900000.0,2011-03-29
9947100000.0,2011-03-30
9934800000.0,2011-03-31
9924400000.0,2011-04-01
9915200000.0,2011-04-02
9904700000.0,2011-04-03
9893900000.0,2011-04-04
9885200000.0,2011-04-05
9876200000.0,2011-04-06
9865600000.0,2011-04-07
9854400000.0,2011-04-08
9844300000.0,2011-04-09
9835300000.0,2011-04-10
9826000000.0,2011-04-11
9816500000.0,2011-04-12
10830000000.0,2011-04-13
11432000000.0,2011-04-14
11509000000.0,2011-04-15
11515000000.0,2011-04-16
11507000000.0,2011-04-17
11495000000.0,2011-04-18
11483000000.0,2011-04-19
11472000000.0,2011-04-20
11459000000.0,2011-04-21
11448000000.0,2011-04-22
11436000000.0,2011-04-23
11423000000.0,2011-04-24
15199000000.0,2011-04-25
16065000000.0,2011-04-26
16050000000.0,2011-04-27
16033000000.0,2011-04-28
16012000000.0,2011-04-29
15988000000.0,2011-04-30
15964000000.0,2011-05-01
15945000000.0,2011-05-02
15928000000.0,2011-05-03
15911000000.0,2011-05-04
15893000000.0,2011-05-05
15878000000.0,2011-05-06
15860000000.0,2011-05-07
15840000000.0,2011-05-08
18333000000.0,2011-05-09
18581000000.0,2011-05-10
18514000000.0,2011-05-11
18485000000.0,2011-05-12
18463000000.0,2011-05-13
18441000000.0,2011-05-14
19025000000.0,2011-05-15
18732000000.0,2011-05-16
