conc_h20,date
76614000000.0,2011-02-21
82072000000.0,2011-02-22
82848000000.0,2011-02-23
82030000000.0,2011-02-24
568980000.0,2011-02-25
42659000000.0,2011-02-26
73915000000.0,2011-02-27
79040000000.0,2011-02-28
79683000000.0,2011-03-01
78943000000.0,2011-03-02
79337000000.0,2011-03-03
80272000000.0,2011-03-04
80674000000.0,2011-03-05
79765000000.0,2011-03-06
843950000.0,2011-03-07
41702000000.0,2011-03-08
72105000000.0,2011-03-09
76668000000.0,2011-03-10
77431000000.0,2011-03-11
77808000000.0,2011-03-12
77056000000.0,2011-03-13
330900000.0,2011-03-14
39667000000.0,2011-03-15
208340000.0,2011-03-16
7889000000.0,2011-03-17
40689000000.0,2011-03-18
201730000.0,2011-03-19
648490000.0,2011-03-20
3067500000.0,2011-03-21
5694700000.0,2011-03-22
35615000000.0,2011-03-23
673880000.0,2011-03-24
6381200000.0,2011-03-25
2971300000.0,2011-03-26
33472000000.0,2011-03-27
57545000000.0,2011-03-28
61591000000.0,2011-03-29
61536000000.0,2011-03-30
61763000000.0,2011-03-31
62587000000.0,2011-04-01
62419000000.0,2011-04-02
61750000000.0,2011-04-03
62348000000.0,2011-04-04
62709000000.0,2011-04-05
62160000000.0,2011-04-06
61564000000.0,2011-04-07
61575000000.0,2011-04-08
62094000000.0,2011-04-09
62070000000.0,2011-04-10
61938000000.0,2011-04-11
61664000000.0,2011-04-12
61192000000.0,2011-04-13
61611000000.0,2011-04-14
62208000000.0,2011-04-15
61927000000.0,2011-04-16
61402000000.0,2011-04-17
61104000000.0,2011-04-18
61502000000.0,2011-04-19
61079000000.0,2011-04-20
61106000000.0,2011-04-21
61241000000.0,2011-04-22
61051000000.0,2011-04-23
60570000000.0,2011-04-24
60189000000.0,2011-04-25
60332000000.0,2011-04-26
60600000000.0,2011-04-27
60356000000.0,2011-04-28
59270000000.0,2011-04-29
58635000000.0,2011-04-30
59498000000.0,2011-05-01
60152000000.0,2011-05-02
60307000000.0,2011-05-03
59995000000.0,2011-05-04
60438000000.0,2011-05-05
60202000000.0,2011-05-06
59615000000.0,2011-05-07
59305000000.0,2011-05-08
59148000000.0,2011-05-09
59408000000.0,2011-05-10
59464000000.0,2011-05-11
59812000000.0,2011-05-12
59752000000.0,2011-05-13
59080000000.0,2011-05-14
58447000000.0,2011-05-15
58582000000.0,2011-05-16
58231000000.0,2011-05-17
3039300000.0,2011-05-18
30712000000.0,2011-05-19
52942000000.0,2011-05-20
56591000000.0,2011-05-21
56990000000.0,2011-05-22
56957000000.0,2011-05-23
57136000000.0,2011-05-24
56917000000.0,2011-05-25
57057000000.0,2011-05-26
57013000000.0,2011-05-27
56492000000.0,2011-05-28
750820000000.0,2011-05-29
38149000000.0,2011-05-30
62339000000.0,2011-05-31
66242000000.0,2011-06-01
6001100000.0,2011-06-02
35937000000.0,2011-06-03
60123000000.0,2011-06-04
64875000000.0,2011-06-05
65526000000.0,2011-06-06
65377000000.0,2011-06-07
65320000000.0,2011-06-08
65389000000.0,2011-06-09
65289000000.0,2011-06-10
64879000000.0,2011-06-11
64913000000.0,2011-06-12
65091000000.0,2011-06-13
65004000000.0,2011-06-14
64549000000.0,2011-06-15
64277000000.0,2011-06-16
64521000000.0,2011-06-17
64606000000.0,2011-06-18
63823000000.0,2011-06-19
63698000000.0,2011-06-20
64272000000.0,2011-06-21
64336000000.0,2011-06-22
63841000000.0,2011-06-23
63827000000.0,2011-06-24
63796000000.0,2011-06-25
63730000000.0,2011-06-26
63363000000.0,2011-06-27
62794000000.0,2011-06-28
3010400000.0,2011-06-29
33646000000.0,2011-06-30
56847000000.0,2011-07-01
60924000000.0,2011-07-02
61177000000.0,2011-07-03
61428000000.0,2011-07-04
61568000000.0,2011-07-05
61343000000.0,2011-07-06
61055000000.0,2011-07-07
61141000000.0,2011-07-08
60736000000.0,2011-07-09
60348000000.0,2011-07-10
59996000000.0,2011-07-11
59784000000.0,2011-07-12
59629000000.0,2011-07-13
59752000000.0,2011-07-14
59637000000.0,2011-07-15
59483000000.0,2011-07-16
59560000000.0,2011-07-17
59507000000.0,2011-07-18
59889000000.0,2011-07-19
59934000000.0,2011-07-20
59666000000.0,2011-07-21
59451000000.0,2011-07-22
59172000000.0,2011-07-23
59080000000.0,2011-07-24
58952000000.0,2011-07-25
58974000000.0,2011-07-26
59146000000.0,2011-07-27
59062000000.0,2011-07-28
58815000000.0,2011-07-29
58495000000.0,2011-07-30
58097000000.0,2011-07-31
58158000000.0,2011-08-01
58368000000.0,2011-08-02
58082000000.0,2011-08-03
57524000000.0,2011-08-04
57705000000.0,2011-08-05
57649000000.0,2011-08-06
57499000000.0,2011-08-07
57426000000.0,2011-08-08
57510000000.0,2011-08-09
57320000000.0,2011-08-10
57042000000.0,2011-08-11
56819000000.0,2011-08-12
56747000000.0,2011-08-13
56245000000.0,2011-08-14
56285000000.0,2011-08-15
56614000000.0,2011-08-16
56835000000.0,2011-08-17
56448000000.0,2011-08-18
55918000000.0,2011-08-19
55684000000.0,2011-08-20
55841000000.0,2011-08-21
56097000000.0,2011-08-22
56411000000.0,2011-08-23
55869000000.0,2011-08-24
55569000000.0,2011-08-25
55635000000.0,2011-08-26
55571000000.0,2011-08-27
55585000000.0,2011-08-28
55229000000.0,2011-08-29
54872000000.0,2011-08-30
54689000000.0,2011-08-31
54317000000.0,2011-09-01
54331000000.0,2011-09-02
54655000000.0,2011-09-03
54621000000.0,2011-09-04
54356000000.0,2011-09-05
54581000000.0,2011-09-06
54524000000.0,2011-09-07
54148000000.0,2011-09-08
53608000000.0,2011-09-09
53730000000.0,2011-09-10
53240000000.0,2011-09-11
53344000000.0,2011-09-12
53486000000.0,2011-09-13
53009000000.0,2011-09-14
52555000000.0,2011-09-15
52376000000.0,2011-09-16
52759000000.0,2011-09-17
52962000000.0,2011-09-18
52950000000.0,2011-09-19
52654000000.0,2011-09-20
52713000000.0,2011-09-21
52858000000.0,2011-09-22
52707000000.0,2011-09-23
51800000000.0,2011-09-24
51498000000.0,2011-09-25
51689000000.0,2011-09-26
52244000000.0,2011-09-27
52452000000.0,2011-09-28
52059000000.0,2011-09-29
