datetime,subcatchment_S42_Runoff_rate,runf_sum,date,year,month,day
2009-08-29,0.0,0.0,2009-08-29,2009,8,29
2009-08-30,0.0,0.0,2009-08-30,2009,8,30
2009-08-31,0.0,0.0,2009-08-31,2009,8,31
2009-09-01,0.0,0.0,2009-09-01,2009,9,1
2009-09-02,0.0,0.0,2009-09-02,2009,9,2
2009-09-03,0.0,0.0,2009-09-03,2009,9,3
2009-09-04,0.0,0.0,2009-09-04,2009,9,4
2009-09-05,0.0,0.0,2009-09-05,2009,9,5
2009-09-06,0.0,0.0,2009-09-06,2009,9,6
2009-09-07,0.0,0.0,2009-09-07,2009,9,7
2009-09-08,0.0,0.0,2009-09-08,2009,9,8
2009-09-09,0.0,0.0,2009-09-09,2009,9,9
2009-09-10,0.0,0.0,2009-09-10,2009,9,10
2009-09-11,0.0,0.0,2009-09-11,2009,9,11
2009-09-12,0.0,0.0,2009-09-12,2009,9,12
2009-09-13,0.0,0.0,2009-09-13,2009,9,13
2009-09-14,0.014727589603110006,0.014727589603110006,2009-09-14,2009,9,14
2009-09-15,0.0,0.0,2009-09-15,2009,9,15
2009-09-16,0.0,0.0,2009-09-16,2009,9,16
2009-09-17,0.0,0.0,2009-09-17,2009,9,17
2009-09-18,0.0,0.0,2009-09-18,2009,9,18
2009-09-19,0.0,0.0,2009-09-19,2009,9,19
2009-09-20,0.0,0.0,2009-09-20,2009,9,20
2009-09-21,0.0,0.0,2009-09-21,2009,9,21
2009-09-22,0.0,0.0,2009-09-22,2009,9,22
2009-09-23,0.0,0.0,2009-09-23,2009,9,23
2009-09-24,0.0,0.0,2009-09-24,2009,9,24
2009-09-25,0.0,0.0,2009-09-25,2009,9,25
2009-09-26,0.0,0.0,2009-09-26,2009,9,26
2009-09-27,0.0,0.0,2009-09-27,2009,9,27
2009-09-28,0.0,0.0,2009-09-28,2009,9,28
2009-09-29,0.0,0.0,2009-09-29,2009,9,29
2009-09-30,0.0,0.0,2009-09-30,2009,9,30
2009-10-01,0.0,0.0,2009-10-01,2009,10,1
2009-10-02,0.0,0.0,2009-10-02,2009,10,2
2009-10-03,0.0,0.0,2009-10-03,2009,10,3
2009-10-04,0.0,0.0,2009-10-04,2009,10,4
2009-10-05,0.0,0.0,2009-10-05,2009,10,5
2009-10-06,0.0,0.0,2009-10-06,2009,10,6
2009-10-07,0.0,0.0,2009-10-07,2009,10,7
2009-10-08,0.0,0.0,2009-10-08,2009,10,8
2009-10-09,0.0,0.0,2009-10-09,2009,10,9
2009-10-10,0.0,0.0,2009-10-10,2009,10,10
2009-10-11,0.0,0.0,2009-10-11,2009,10,11
2009-10-12,0.0,0.0,2009-10-12,2009,10,12
2009-10-13,2.1476643790525505,2.1476643790525505,2009-10-13,2009,10,13
2009-10-14,0.16946551822947925,0.16946551822947925,2009-10-14,2009,10,14
2009-10-15,0.0,0.0,2009-10-15,2009,10,15
2009-10-16,0.0,0.0,2009-10-16,2009,10,16
2009-10-17,0.0,0.0,2009-10-17,2009,10,17
2009-10-18,0.0,0.0,2009-10-18,2009,10,18
2009-10-19,0.01955451752054585,0.01955451752054585,2009-10-19,2009,10,19
2009-10-20,0.0,0.0,2009-10-20,2009,10,20
2009-10-21,0.0,0.0,2009-10-21,2009,10,21
2009-10-22,0.0,0.0,2009-10-22,2009,10,22
2009-10-23,0.0,0.0,2009-10-23,2009,10,23
2009-10-24,0.0,0.0,2009-10-24,2009,10,24
2009-10-25,0.0,0.0,2009-10-25,2009,10,25
2009-10-26,0.0,0.0,2009-10-26,2009,10,26
2009-10-27,0.0,0.0,2009-10-27,2009,10,27
2009-10-28,0.0,0.0,2009-10-28,2009,10,28
2009-10-29,0.0,0.0,2009-10-29,2009,10,29
2009-10-30,0.0,0.0,2009-10-30,2009,10,30
2009-10-31,0.0,0.0,2009-10-31,2009,10,31
2009-11-01,0.0,0.0,2009-11-01,2009,11,1
2009-11-02,0.0,0.0,2009-11-02,2009,11,2
2009-11-03,0.0,0.0,2009-11-03,2009,11,3
2009-11-04,0.0,0.0,2009-11-04,2009,11,4
2009-11-05,0.0,0.0,2009-11-05,2009,11,5
2009-11-06,0.0,0.0,2009-11-06,2009,11,6
2009-11-07,0.0,0.0,2009-11-07,2009,11,7
2009-11-08,0.0,0.0,2009-11-08,2009,11,8
2009-11-09,0.0,0.0,2009-11-09,2009,11,9
2009-11-10,0.0,0.0,2009-11-10,2009,11,10
2009-11-11,0.0,0.0,2009-11-11,2009,11,11
2009-11-12,0.0,0.0,2009-11-12,2009,11,12
2009-11-13,0.0,0.0,2009-11-13,2009,11,13
2009-11-14,0.0,0.0,2009-11-14,2009,11,14
2009-11-15,0.0,0.0,2009-11-15,2009,11,15
2009-11-16,0.0,0.0,2009-11-16,2009,11,16
2009-11-17,0.010549072238518902,0.010549072238518902,2009-11-17,2009,11,17
2009-11-18,0.10848027269375646,0.10848027269375646,2009-11-18,2009,11,18
2009-11-19,0.0,0.0,2009-11-19,2009,11,19
2009-11-20,0.1746201526120089,0.1746201526120089,2009-11-20,2009,11,20
2009-11-21,0.0,0.0,2009-11-21,2009,11,21
2009-11-22,0.0,0.0,2009-11-22,2009,11,22
2009-11-23,0.0,0.0,2009-11-23,2009,11,23
2009-11-24,0.0,0.0,2009-11-24,2009,11,24
2009-11-25,0.0,0.0,2009-11-25,2009,11,25
2009-11-26,0.0,0.0,2009-11-26,2009,11,26
2009-11-27,0.0,0.0,2009-11-27,2009,11,27
2009-11-28,0.0,0.0,2009-11-28,2009,11,28
2009-11-29,0.0,0.0,2009-11-29,2009,11,29
2009-11-30,0.0,0.0,2009-11-30,2009,11,30
2009-12-01,0.0,0.0,2009-12-01,2009,12,1
2009-12-02,0.0,0.0,2009-12-02,2009,12,2
2009-12-03,0.0,0.0,2009-12-03,2009,12,3
2009-12-04,0.0,0.0,2009-12-04,2009,12,4
2009-12-05,0.0,0.0,2009-12-05,2009,12,5
2009-12-06,0.0,0.0,2009-12-06,2009,12,6
2009-12-07,0.39253349971245366,0.39253349971245366,2009-12-07,2009,12,7
2009-12-08,0.0,0.0,2009-12-08,2009,12,8
2009-12-09,0.0,0.0,2009-12-09,2009,12,9
2009-12-10,0.0,0.0,2009-12-10,2009,12,10
2009-12-11,0.7204295131168044,0.7204295131168044,2009-12-11,2009,12,11
2009-12-12,0.7254601099324378,0.7254601099324378,2009-12-12,2009,12,12
2009-12-13,0.4340613080404837,0.4340613080404837,2009-12-13,2009,12,13
2009-12-14,0.0064617930482264215,0.0064617930482264215,2009-12-14,2009,12,14
2009-12-15,0.0,0.0,2009-12-15,2009,12,15
2009-12-16,0.0,0.0,2009-12-16,2009,12,16
2009-12-17,0.0,0.0,2009-12-17,2009,12,17
2009-12-18,0.0,0.0,2009-12-18,2009,12,18
2009-12-19,0.0,0.0,2009-12-19,2009,12,19
2009-12-20,0.0,0.0,2009-12-20,2009,12,20
2009-12-21,0.0,0.0,2009-12-21,2009,12,21
2009-12-22,0.04279378859378142,0.04279378859378142,2009-12-22,2009,12,22
2009-12-23,0.0,0.0,2009-12-23,2009,12,23
2009-12-24,0.0,0.0,2009-12-24,2009,12,24
2009-12-25,0.0,0.0,2009-12-25,2009,12,25
2009-12-26,0.0,0.0,2009-12-26,2009,12,26
2009-12-27,0.13802569912979154,0.13802569912979154,2009-12-27,2009,12,27
2009-12-28,0.0,0.0,2009-12-28,2009,12,28
2009-12-29,0.02188338534850252,0.02188338534850252,2009-12-29,2009,12,29
2009-12-30,0.029696965417239752,0.029696965417239752,2009-12-30,2009,12,30
2009-12-31,0.0,0.0,2009-12-31,2009,12,31
2010-01-01,0.012334518713306108,0.012334518713306108,2010-01-01,2010,1,1
2010-01-02,0.0,0.0,2010-01-02,2010,1,2
2010-01-03,0.0,0.0,2010-01-03,2010,1,3
2010-01-04,0.0,0.0,2010-01-04,2010,1,4
2010-01-05,0.0,0.0,2010-01-05,2010,1,5
2010-01-06,0.0,0.0,2010-01-06,2010,1,6
2010-01-07,0.0,0.0,2010-01-07,2010,1,7
2010-01-08,0.0,0.0,2010-01-08,2010,1,8
2010-01-09,0.0,0.0,2010-01-09,2010,1,9
