,35,bif_sum,date,year,month,day
463,0.0,0.0,2010-04-11,2010,4,11
464,0.0,0.0,2010-04-12,2010,4,12
465,0.0,0.0,2010-04-13,2010,4,13
466,0.0,0.0,2010-04-14,2010,4,14
467,0.0,0.0,2010-04-15,2010,4,15
468,0.0,0.0,2010-04-16,2010,4,16
469,0.0,0.0,2010-04-17,2010,4,17
470,0.0,0.0,2010-04-18,2010,4,18
471,0.0,0.0,2010-04-19,2010,4,19
472,0.0,0.0,2010-04-20,2010,4,20
473,0.0,0.0,2010-04-21,2010,4,21
474,0.0,0.0,2010-04-22,2010,4,22
475,0.0,0.0,2010-04-23,2010,4,23
476,0.0,0.0,2010-04-24,2010,4,24
477,0.0,0.0,2010-04-25,2010,4,25
478,0.0,0.0,2010-04-26,2010,4,26
479,0.0,0.0,2010-04-27,2010,4,27
480,0.0,0.0,2010-04-28,2010,4,28
481,0.0,0.0,2010-04-29,2010,4,29
482,0.0,0.0,2010-04-30,2010,4,30
483,0.0,0.0,2010-05-01,2010,5,1
484,0.0,0.0,2010-05-02,2010,5,2
485,0.0,0.0,2010-05-03,2010,5,3
486,0.0,0.0,2010-05-04,2010,5,4
487,0.0,0.0,2010-05-05,2010,5,5
488,0.0,0.0,2010-05-06,2010,5,6
489,0.0,0.0,2010-05-07,2010,5,7
490,0.0,0.0,2010-05-08,2010,5,8
491,0.0,0.0,2010-05-09,2010,5,9
492,0.0,0.0,2010-05-10,2010,5,10
493,0.0,0.0,2010-05-11,2010,5,11
494,0.0,0.0,2010-05-12,2010,5,12
495,0.0,0.0,2010-05-13,2010,5,13
496,0.0,0.0,2010-05-14,2010,5,14
497,0.0,0.0,2010-05-15,2010,5,15
498,0.0,0.0,2010-05-16,2010,5,16
499,0.0,0.0,2010-05-17,2010,5,17
500,0.0,0.0,2010-05-18,2010,5,18
501,0.0,0.0,2010-05-19,2010,5,19
502,0.0,0.0,2010-05-20,2010,5,20
503,0.0,0.0,2010-05-21,2010,5,21
504,0.0,0.0,2010-05-22,2010,5,22
505,0.0,0.0,2010-05-23,2010,5,23
506,0.0,0.0,2010-05-24,2010,5,24
507,0.0,0.0,2010-05-25,2010,5,25
508,0.0,0.0,2010-05-26,2010,5,26
509,7723.676947483176,7723.676947483176,2010-05-27,2010,5,27
510,0.0,0.0,2010-05-28,2010,5,28
511,0.0,0.0,2010-05-29,2010,5,29
512,0.0,0.0,2010-05-30,2010,5,30
513,0.0,0.0,2010-05-31,2010,5,31
514,0.0,0.0,2010-06-01,2010,6,1
515,0.0,0.0,2010-06-02,2010,6,2
516,0.0,0.0,2010-06-03,2010,6,3
