datetime,subcatchment_S53_Runoff_rate,subcatchment_S54_Runoff_rate,subcatchment_S68_Runoff_rate,subcatchment_S70_Runoff_rate,subcatchment_S71_Runoff_rate,subcatchment_S74_Runoff_rate,subcatchment_S75_Runoff_rate,subcatchment_S76_Runoff_rate,subcatchment_S78_Runoff_rate,subcatchment_S79_Runoff_rate,subcatchment_S82_Runoff_rate,subcatchment_S84_Runoff_rate,subcatchment_S85_Runoff_rate,subcatchment_S86_Runoff_rate,subcatchment_S89_Runoff_rate,subcatchment_S91_Runoff_rate,subcatchment_S92_Runoff_rate,subcatchment_S93_Runoff_rate,subcatchment_S94_Runoff_rate,subcatchment_S95_Runoff_rate,subcatchment_S96_Runoff_rate,subcatchment_S97_Runoff_rate,subcatchment_S98_Runoff_rate,subcatchment_S99_Runoff_rate,subcatchment_S102_Runoff_rate,subcatchment_S103_Runoff_rate,subcatchment_S101_Runoff_rate,subcatchment_S108_Runoff_rate,runf_sum,date,year,month,day
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-01,2009,2,1
2009-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-02,2009,2,2
2009-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-03,2009,2,3
2009-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-04,2009,2,4
2009-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-05,2009,2,5
2009-02-06,0.0026735878426969945,0.013235225043698793,0.0026467289666186377,0.0,0.0031920261514856094,0.00911253641789856,0.00627460696052984,0.0,0.012750153283709879,0.0027707169024283455,0.01586212094117004,0.023880691764779985,0.014009927657137154,0.018274759213574226,0.00921561075992926,0.00972302879233708,0.012984161160786723,0.012655817362546872,0.010808435261704653,0.015275206709723443,0.013433962945706169,0.0,0.0029498942408605583,0.0027443263135971405,0.0,0.014018736808705523,0.04510355745560178,0.006010635405924902,0.2796064543631522,2009-02-06,2009,2,6
2009-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-07,2009,2,7
2009-02-08,0.02060922611309761,0.02968500280179383,0.019080218847257663,0.007920036573204359,0.024251782350311547,0.027084399685865797,0.026329330706618092,0.015254347719325934,0.027010613456160404,0.021106381456947484,0.03952003349501021,0.061397555568411956,0.029421688137186364,0.04674865935082584,0.02656841882321882,0.026622730914763047,0.041327707840372645,0.042752114704338665,0.034857134776035796,0.03219278222557994,0.04475159672774604,0.0186153738171435,0.02241833383559509,0.02089051817494977,0.00494798908384774,0.028236914297484688,0.09667307578639546,0.023513119102854314,0.8597870863723427,2009-02-08,2009,2,8
2009-02-09,0.03209683828690148,0.11530400090664879,0.07704390652074455,0.0044283888519828654,0.05191515781258129,0.0651479432995799,0.04245521659016518,0.019013912998056354,0.1301618414019014,0.03856448890761395,0.12575792028053104,0.1001036786330627,0.14549139902356822,0.13666484919391714,0.07941811707061959,0.110077528209339,0.10204722875783116,0.06607209414826709,0.07493789683010983,0.16022205487966304,0.0780242259804457,0.02395628726924623,0.04298925740058335,0.03870992744368793,0.008802113216724371,0.16021694855966123,0.44970764765973714,0.08099436233452777,2.560325232467698,2009-02-09,2009,2,9
2009-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025686135051133582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025686135051133582,2009-02-10,2009,2,10
